ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"47.243.75.115","elite","AS45102","HK","Alibaba (US) Technology Co., Ltd.","256","Alibaba.com LLC","8011","socks5","508","1","2022-09-30T00:45:01.288Z","100","53","53"
"112.194.89.99","elite","AS4837","CN","China Unicom CHINA169 Sichuan Province Network","246","N/A","44313","socks5","746","1","2022-09-30T00:44:57.816Z","69","45","65"
"172.104.56.209","elite","AS63949","SG","Linode, LLC","150","Linode","9050","socks5","3805","1","2022-09-30T00:44:54.484Z","100","84","84"
"69.163.162.253","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","20676","socks5","2875","1","2022-09-30T00:44:54.486Z","100","105","105"
"45.81.225.67","elite","AS204601","NL","Zomro B.V.","13","On-line Data LTD","7051","socks5","5060","1","2022-09-30T00:44:50.060Z","100","108","108"
"186.126.120.130","elite","AS7303","AR","Telecom Argentina S.A.","291","Telecom Personal Bs","1080","socks5","5108","1","2022-09-30T00:44:43.850Z","43","40","93"
"185.214.187.104","elite","AS48858","RU","LLC Milecom","123","Milecom LLC","1080","socks5","4817","1","2022-09-30T00:44:42.560Z","100","49","49"
"1.116.150.186","elite","AS45090","CN","China Internet Network Information Center","363","Tencent cloud computing (Beijing) Co., Ltd.","33333","socks5","5026","1","2022-09-30T00:44:34.310Z","95","101","106"
"34.172.155.209","elite","AS396982","US","Google LLC","102","Google Cloud (us-central1)","8000","socks5","5022","1","2022-09-30T00:44:14.464Z","77","59","77"
"213.136.82.183","elite","AS51167","DE","Contabo GmbH","15","Contabo GmbH","43052","socks5","5018","1","2022-09-30T00:44:10.947Z","100","108","108"
"43.153.172.98","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","253","Tencent Cloud Computing (Beijing) Co., Ltd","443","socks5","4775","1","2022-09-30T00:43:43.184Z","48","29","60"
"217.115.115.247","elite","AS30900","IE","Sternforth Ltd.","22","Webworld","56792","socks5","5259","1","2022-09-30T00:43:39.527Z","93","100","108"
"41.203.252.118","elite","AS36902","SC","Intelvision","175","Intelvision Ltd","3128","socks5","3822","1","2022-09-30T00:43:39.528Z","100","68","68"
"120.24.194.9","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","264","Aliyun Computing Co., LTD","19009","socks5","5035","1","2022-09-30T00:43:32.477Z","98","50","51"
"45.77.4.241","elite","AS20473","US","The Constant Company","144","Vultr Holdings, LLC","9050","socks5","4892","1","2022-09-30T00:43:28.824Z","100","53","53"
"31.134.99.130","elite","AS56656","SK","DetronicsRoute","36","Detronics s.r.o.","1080","socks5","5177","1","2022-09-30T00:43:21.824Z","99","101","102"
"104.18.161.122","elite","AS13335","CA","Cloudflare, Inc.","1","Cloudflare, Inc.","80","socks5","4997","1","2022-09-30T00:43:18.115Z","100","108","108"
"60.12.57.140","elite","AS4837","CN","CNC Group CHINA169 Zhejiang Province Network","220","N/A","7302","socks5","4839","1","2022-09-30T00:43:04.169Z","98","89","91"
"173.244.200.154","elite","AS32780","US","Hosting Services, Inc.","73","Hosting Services, Inc.","43163","socks5","69","1","2022-09-30T00:43:00.118Z","100","44","44"
"5.39.19.152","elite","AS16276","FR","OVH ISP","5","Caunes Sebastien","46529","socks5","4942","1","2022-09-30T00:42:56.724Z","99","106","107"
"103.230.228.226","elite","AS141761","US","Starchain Telecom Co., LTD.","210","FE Studio Limited","5678","socks5","4945","1","2022-09-30T00:42:49.365Z","98","50","51"
"156.239.144.87","elite","AS22773","US","Cox Communications Inc.","83","GBTCloud Inc","10001","socks5","4512","1","2022-09-30T00:42:46.013Z","98","52","53"
"176.31.226.57","elite","AS16276","FR","OVH SAS","4","OVH ISP","53499","socks5","3035","1","2022-09-30T00:42:34.964Z","100","107","107"
"208.113.220.98","elite","AS26347","US","New Dream Network, LLC","83","New Dream Network, LLC","36869","socks5","4260","1","2022-09-30T00:42:34.943Z","100","55","55"
"185.162.128.135","elite","AS14576","NL","Hosting purposes in Netherlands","15","N/A","9057","socks5","4175","1","2022-09-30T00:42:19.364Z","100","89","89"
"62.109.31.192","elite","AS29182","RU","Cjsc the First","45","TheFirst","20000","socks5","35","1","2022-09-30T00:41:56.792Z","100","39","39"
"124.156.133.64","elite","AS132203","HK","Tencent Cloud Computing (Beijing) Co","248","N/A","59231","socks5","4750","1","2022-09-30T00:41:56.785Z","100","60","60"
"198.211.50.112","elite","AS35916","US","Multacom Corporation","147","Multacom Corporation","8080","socks5","4926","1","2022-09-30T00:41:35.006Z","98","64","65"
"160.251.15.114","elite","AS7506","JP","interQ","239","GMO Internet, Inc.","80","socks5","5182","1","2022-09-30T00:41:20.020Z","54","52","97"
"49.75.66.137","elite","AS4134","CN","Chinanet","296","Chinanet JS","7890","socks5","2372","1","2022-09-30T00:40:50.695Z","100","46","46"
"23.228.98.179","elite","AS46573","US","LayerHost","143","LayerHost","80","socks5","4555","1","2022-09-30T00:40:46.938Z","100","104","104"
"43.128.163.177","elite","AS132203","IN","Shenzhen Tencent Computer Systems Company Limited","122","Tencent Cloud Computing","443","socks5","5001","1","2022-09-30T00:40:35.921Z","25","17","68"
"69.163.166.113","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","19761","socks5","4613","1","2022-09-30T00:40:17.301Z","100","64","64"
"103.53.228.207","elite","AS131427","VN","AOHOAVIET","178","AO HOA Viet Co., ltd","9050","socks5","4779","1","2022-09-30T00:40:06.160Z","100","104","104"
"51.68.89.25","elite","AS16276","FR","OVH SAS","7","OVH","35058","socks5","4998","1","2022-09-30T00:40:02.523Z","100","71","71"
"185.242.160.213","elite","AS57152","TR","Nuh Ahmet Firat trading as TEKNET YAZLIM VE BILGISAYAR TEKNOLOJILERI","45","Cnc Bilisim Hizmetleri Ins San Tic Ltd Sti","7497","socks5","5197","1","2022-09-30T00:39:51.323Z","96","104","108"
"5.188.4.100","elite","AS202422","BR","G-Core Labs S.A","196","GCL","80","socks5","4697","1","2022-09-30T00:39:44.009Z","56","58","103"
"89.162.185.34","elite","AS15895","UA","SOL Network","41","N/A","1080","socks5","4659","1","2022-09-30T00:39:44.011Z","98","104","106"
"173.212.234.67","elite","AS51167","DE","Contabo GmbH","18","Contabo GmbH","51924","socks5","5099","1","2022-09-30T00:39:32.621Z","100","68","68"
"192.46.229.111","elite","AS63949","SG","Linode, LLC","149","Linode, LLC","8080","socks5","4586","2","2022-09-30T00:39:10.376Z","100","76","76"
"143.244.149.59","elite","AS14061","US","DigitalOcean, LLC","82","DigitalOcean, LLC","35887","socks5","4302","1","2022-09-30T00:39:10.376Z","100","31","31"
"118.113.212.237","elite","AS4134","CN","Chinanet","397","Chinanet SC","1080","socks5","5173","1","2022-09-30T00:39:10.374Z","15","14","93"
"86.34.197.6","elite","AS9050","RO","Romtelecom Data Network","57","N/A","23500","socks5","4119","1","2022-09-30T00:39:02.986Z","91","42","46"
"199.188.93.163","elite","AS64200","US","Vivid-hosting LLC","142","Vivid-hosting LLC","9000","socks5","3454","1","2022-09-30T00:39:02.983Z","100","77","77"
"188.165.254.122","elite","AS16276","FR","OVH SAS","4","OVH ISP","1784","socks5","4897","1","2022-09-30T00:38:59.264Z","100","108","108"
"181.15.156.170","elite","AS7303","AR","Telecom Argentina S.A.","254","Telecom Argentina S.A","8080","socks5","4654","1","2022-09-30T00:38:51.506Z","99","71","72"
"176.102.70.102","elite","AS41929","RU","Sistemy Svyazi Llc","52","Sistemy Svyazi Llc","1080","socks5","4790","1","2022-09-30T00:38:32.632Z","99","107","108"
"60.12.77.43","elite","AS4837","CN","CNC Group CHINA169 Zhejiang Province Network","220","N/A","7302","socks5","4191","1","2022-09-30T00:38:25.069Z","100","93","93"
"138.68.19.47","elite","AS14061","US","DigitalOcean, LLC","150","Digital Ocean","7497","socks5","4619","1","2022-09-30T00:38:06.363Z","99","107","108"
"47.102.194.161","elite","AS37963","CN","Addresses CNNIC","247","Aliyun Computing Co., LTD","22002","socks5","4399","1","2022-09-30T00:37:55.103Z","91","84","92"
"138.197.69.132","elite","AS14061","US","DigitalOcean, LLC","81","Digital Ocean","19260","socks5","5097","1","2022-09-30T00:37:36.691Z","100","108","108"
"81.68.156.53","elite","AS45090","NL","EuroNet Internet","263","Euronet Communications B.V.","2080","socks5","4915","1","2022-09-30T00:37:33.038Z","95","92","97"
"151.248.117.232","elite","AS197695","RU","Reg.Ru","42","N/A","5555","socks5","4909","1","2022-09-30T00:37:29.315Z","100","62","62"
"82.165.137.115","elite","AS8560","DE","IONOS","8","N/A","7061","socks5","4710","1","2022-09-30T00:37:18.419Z","100","108","108"
"222.129.33.67","elite","AS4808","CN","China Unicom Beijing Province Network","242","N/A","1080","socks5","5057","1","2022-09-30T00:37:03.615Z","97","63","65"
"148.66.142.19","elite","AS26496","SG","GoDaddy.com, LLC","172","Godaddy.com","61481","socks5","4784","1","2022-09-30T00:36:30.462Z","100","108","108"
"47.242.232.206","elite","AS45102","HK","Alibaba.com LLC","242","Hong Kong","39426","socks5","4732","1","2022-09-30T00:36:08.346Z","54","58","108"
"114.88.241.195","elite","AS4812","CN","China Telecom (Group)","245","Chinanet SH","2080","socks5","5174","1","2022-09-30T00:36:04.763Z","100","60","60"
"51.178.25.246","elite","AS16276","FR","OVH SAS","5","OVH","30755","socks5","428","1","2022-09-30T00:36:04.774Z","100","35","35"
"192.163.252.85","elite","AS46606","US","Unified Layer","130","Unified Layer","52119","socks5","4782","1","2022-09-30T00:35:53.100Z","100","87","87"
